symbol,name,asset_type,country,region,exchange,market,currency,isin,provider,is_active
AAVE-CAD,Aave CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
AAVE-CNY,Aave CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
AAVE-ETH,Aave ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
AAVE-EUR,Aave EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AAVE-GBP,Aave GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AAVE-INR,Aave INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AAVE-JPY,Aave JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AAVE-KRW,Aave KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AAVE-RUB,Aave RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AAVE-USD,Aave USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ABBC-CAD,ABBCCoin CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ABBC-CNY,ABBCCoin CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ABBC-ETH,ABBCCoin ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ABBC-EUR,ABBCCoin EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ABBC-GBP,ABBCCoin GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ABBC-INR,ABBCCoin INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ABBC-JPY,ABBCCoin JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ABBC-KRW,ABBCCoin KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ABBC-RUB,ABBCCoin RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ABBC-USD,ABBCCoin USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ACH-CAD,AlchemyPay CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ACH-CNY,AlchemyPay CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ACH-ETH,AlchemyPay ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ACH-EUR,AlchemyPay EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ACH-GBP,AlchemyPay GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ACH-INR,AlchemyPay INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ACH-JPY,AlchemyPay JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ACH-KRW,AlchemyPay KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ACH-RUB,AlchemyPay RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ACH-USD,AlchemyPay USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ACT-CAD,Achain CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ACT-CNY,Achain CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ACT-ETH,Achain ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ACT-EUR,Achain EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ACT-GBP,Achain GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ACT-INR,Achain INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ACT-JPY,Achain JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ACT-KRW,Achain KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ACT-RUB,Achain RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ACT-USD,Achain USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ADA-AUD,Cardano AUD,cryptos,,Unknown,CCC,CRYPTO,AUD,,financedatabase,True
ADA-CAD,Cardano CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ADA-ETH,Cardano ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ADA-EUR,Cardano EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ADA-GBP,Cardano GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ADA-INR,Cardano INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ADA-JPY,Cardano JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ADA-KRW,Cardano KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ADA-RUB,Cardano RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ADA-USD,Cardano USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ADK-CAD,AidosKuneen CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ADK-CNY,AidosKuneen CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ADK-ETH,AidosKuneen ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ADK-EUR,AidosKuneen EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ADK-GBP,AidosKuneen GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ADK-INR,AidosKuneen INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ADK-JPY,AidosKuneen JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ADK-KRW,AidosKuneen KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ADK-RUB,AidosKuneen RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ADK-USD,AidosKuneen USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ADX-INR,AdEx INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ADX-USD,AdEx USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
AE-CAD,Aeternity CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
AE-CNY,Aeternity CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
AE-ETH,Aeternity ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
AE-EUR,Aeternity EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AE-GBP,Aeternity GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AE-INR,Aeternity INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AE-JPY,Aeternity JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AE-KRW,Aeternity KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AE-RUB,Aeternity RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AE-USD,Aeternity USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
AIB-CAD,AdvancedInternetBlocks CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
AIB-CNY,AdvancedInternetBlocks CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
AIB-ETH,AdvancedInternetBlocks ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
AIB-EUR,AdvancedInternetBlocks EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AIB-GBP,AdvancedInternetBlocks GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AIB-INR,AdvancedInternetBlocks INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AIB-JPY,AdvancedInternetBlocks JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AIB-KRW,AdvancedInternetBlocks KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AIB-RUB,AdvancedInternetBlocks RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AIB-USD,AdvancedInternetBlocks USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
AION-EUR,Aion EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AION-GBP,Aion GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AION-INR,Aion INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AION-JPY,Aion JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AION-KRW,Aion KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AION-RUB,Aion RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AION-USD,Aion USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ALGO-AUD,Algorand AUD,cryptos,,Unknown,CCC,CRYPTO,AUD,,financedatabase,True
ALGO-BTC,Algorand BTC,cryptos,,Unknown,CCC,CRYPTO,BTC,,financedatabase,True
ALGO-CAD,Algorand CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ALGO-CNY,Algorand CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ALGO-ETH,Algorand ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ALGO-EUR,Algorand EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ALGO-GBP,Algorand GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ALGO-INR,Algorand INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ALGO-JPY,Algorand JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ALGO-KRW,Algorand KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ALGO-RUB,Algorand RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ALGO-USD,Algorand USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ALIAS-CAD,Alias CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ALIAS-CNY,Alias CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ALIAS-ETH,Alias ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ALIAS-EUR,Alias EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ALIAS-GBP,Alias GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ALIAS-INR,Alias INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ALIAS-JPY,Alias JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ALIAS-KRW,Alias KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ALIAS-RUB,Alias RUB,cryptos,,Unknown,CCC,CRYPTO,,,financedatabase,True
ALIAS-USD,Alias USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
AMB-BTC,Ambrosus BTC,cryptos,,Unknown,CCC,CRYPTO,BTC,,financedatabase,True
AMB-CAD,Ambrosus CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
AMB-CNY,Ambrosus CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
AMB-ETH,Ambrosus ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
AMB-EUR,Ambrosus EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AMB-GBP,Ambrosus GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AMB-INR,Ambrosus INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AMB-JPY,Ambrosus JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AMB-KRW,Ambrosus KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AMB-RUB,Ambrosus RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AMB-USD,Ambrosus USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
AMP1-CAD,Amp CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
AMP1-CNY,Amp CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
AMP1-ETH,Amp ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
AMP1-EUR,Amp EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AMP1-GBP,Amp GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AMP1-INR,Amp INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AMP1-JPY,Amp JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AMP1-KRW,Amp KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AMP1-RUB,Amp RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AMP1-USD,Amp USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ANKR-CAD,Ankr CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
ANKR-CNY,Ankr CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
ANKR-ETH,Ankr ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ANKR-EUR,Ankr EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
ANKR-GBP,Ankr GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
ANKR-INR,Ankr INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ANKR-JPY,Ankr JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ANKR-KRW,Ankr KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ANKR-RUB,Ankr RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ANKR-USD,Ankr USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
ANT-ETH,Aragon ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
ANT-INR,Aragon INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
ANT-JPY,Aragon JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
ANT-KRW,Aragon KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
ANT-RUB,Aragon RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
ANT-USD,Aragon USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
APL-AUD,ApolloCurrency AUD,cryptos,,Unknown,CCC,CRYPTO,AUD,,financedatabase,True
APL-BTC,ApolloCurrency BTC,cryptos,,Unknown,CCC,CRYPTO,BTC,,financedatabase,True
APL-CAD,ApolloCurrency CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
APL-CNY,ApolloCurrency CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
APL-ETH,ApolloCurrency ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
APL-EUR,ApolloCurrency EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
APL-GBP,ApolloCurrency GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
APL-INR,ApolloCurrency INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
APL-JPY,ApolloCurrency JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
APL-KRW,ApolloCurrency KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
APL-RUB,ApolloCurrency RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
APL-USD,ApolloCurrency USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
AR-CAD,Arweave CAD,cryptos,,Unknown,CCC,CRYPTO,CAD,,financedatabase,True
AR-CNY,Arweave CNY,cryptos,,Unknown,CCC,CRYPTO,CNY,,financedatabase,True
AR-ETH,Arweave ETH,cryptos,,Unknown,CCC,CRYPTO,ETH,,financedatabase,True
AR-EUR,Arweave EUR,cryptos,,Unknown,CCC,CRYPTO,EUR,,financedatabase,True
AR-GBP,Arweave GBP,cryptos,,Unknown,CCC,CRYPTO,GBP,,financedatabase,True
AR-INR,Arweave INR,cryptos,,Unknown,CCC,CRYPTO,INR,,financedatabase,True
AR-JPY,Arweave JPY,cryptos,,Unknown,CCC,CRYPTO,JPY,,financedatabase,True
AR-KRW,Arweave KRW,cryptos,,Unknown,CCC,CRYPTO,KRW,,financedatabase,True
AR-RUB,Arweave RUB,cryptos,,Unknown,CCC,CRYPTO,RUB,,financedatabase,True
AR-USD,Arweave USD,cryptos,,Unknown,CCC,CRYPTO,USD,,financedatabase,True
